股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
2308,2019-07-24,2019-07-25,151.5,149.5,-1.32,1,失敗
1216,2019-07-25,2019-07-26,82.4,81.3,-1.33,1,失敗
1717,2019-07-25,2019-07-26,26.55,26.6,0.19,1,勝利
2613,2019-07-25,2019-07-26,13.3,13.3,0.0,1,失敗
1522,2019-07-26,2019-07-30,28.3,28.1,-0.71,4,失敗
1609,2019-07-26,2019-07-30,11.25,11.2,-0.44,4,失敗
2201,2019-07-26,2019-08-02,23.9,23.05,-3.56,7,失敗
2509,2019-07-26,2019-07-29,29.6,29.55,-0.17,3,失敗
9921,2019-07-26,2019-07-29,235.5,239.0,1.49,3,勝利
1231,2019-07-29,2019-07-30,47.0,46.5,-1.06,1,失敗
1315,2019-07-29,2019-07-30,30.95,31.0,0.16,1,勝利
2303,2019-07-31,2019-08-01,13.8,13.4,-2.9,1,失敗
6269,2019-07-31,2019-08-02,95.7,91.0,-4.91,2,失敗
1809,2019-08-01,2019-08-08,13.35,14.35,7.49,7,勝利
2301,2019-08-01,2019-08-08,46.25,46.8,1.19,7,勝利
2497,2019-08-01,2019-08-06,23.0,22.7,-1.3,5,失敗
5434,2019-08-01,2019-08-02,86.3,86.4,0.12,1,勝利
5607,2019-08-01,2019-08-08,20.45,22.15,8.31,7,勝利
00673R,2019-08-02,2019-08-12,15.68,15.88,1.28,10,勝利
2906,2019-08-02,2019-08-12,11.25,11.85,5.33,10,勝利
1722,2019-08-05,2019-08-06,47.8,47.5,-0.63,1,失敗
1321,2019-08-07,2019-08-08,27.6,27.6,0.0,1,失敗
2032,2019-08-07,2019-08-14,9.06,9.19,1.43,7,勝利
2101,2019-08-07,2019-08-08,36.6,38.1,4.1,1,勝利
2705,2019-08-07,2019-08-08,7.0,7.04,0.57,1,勝利
2834,2019-08-07,2019-08-08,13.3,13.35,0.38,1,勝利
2929,2019-08-07,2019-08-15,88.2,92.2,4.54,8,勝利
3029,2019-08-07,2019-08-15,30.65,32.8,7.01,8,勝利
6216,2019-08-07,2019-08-08,28.6,28.8,0.7,1,勝利
9914,2019-08-07,2019-08-08,188.5,190.5,1.06,1,勝利
1442,2019-08-08,2019-08-12,16.55,15.65,-5.44,4,失敗
1522,2019-08-08,2019-08-15,28.45,28.7,0.88,7,勝利
2377,2019-08-08,2019-08-12,86.4,88.0,1.85,4,勝利
2468,2019-08-08,2019-08-15,12.85,12.45,-3.11,7,失敗
3037,2019-08-08,2019-08-12,38.15,38.05,-0.26,4,失敗
